Airline,From,To,Source Airport,Destination Airport
Pinnacle Airlines,Atlanta,Minneapolis,ATL,MSP
Pinnacle Airlines,Minneapolis,Atlanta,MSP,ATL
American Airlines,Atlanta,Charlotte,ATL,CLT
American Airlines,Atlanta,Miami,ATL,MIA
American Airlines,Atlanta,Chicago,ATL,ORD
American Airlines,Atlanta,Philadelphia,ATL,PHL
American Airlines,Atlanta,Phoenix,ATL,PHX
American Airlines,Boston,Charlotte,BOS,CLT
American Airlines,Boston,Washington,BOS,DCA
American Airlines,Boston,Los Angeles,BOS,LAX
American Airlines,Boston,Miami,BOS,MIA
American Airlines,Boston,Chicago,BOS,ORD
American Airlines,Boston,Portland,BOS,PDX
American Airlines,Boston,Philadelphia,BOS,PHL
American Airlines,Boston,Phoenix,BOS,PHX
American Airlines,Boston,San Diego,BOS,SAN
American Airlines,Boston,Seattle,BOS,SEA
American Airlines,Baltimore,Charlotte,BWI,CLT
American Airlines,Baltimore,Miami,BWI,MIA
American Airlines,Baltimore,Chicago,BWI,ORD
American Airlines,Baltimore,Philadelphia,BWI,PHL
American Airlines,Baltimore,Phoenix,BWI,PHX
American Airlines,Charlotte,Atlanta,CLT,ATL
American Airlines,Charlotte,Boston,CLT,BOS
American Airlines,Charlotte,Baltimore,CLT,BWI
American Airlines,Charlotte,Washington,CLT,DCA
American Airlines,Charlotte,Denver,CLT,DEN
American Airlines,Charlotte,Detroit,CLT,DTW
American Airlines,Charlotte,Washington,CLT,IAD
American Airlines,Charlotte,Houston,CLT,IAH
American Airlines,Charlotte,Los Angeles,CLT,LAX
American Airlines,Charlotte,Orlando,CLT,MCO
American Airlines,Charlotte,Miami,CLT,MIA
American Airlines,Charlotte,Minneapolis,CLT,MSP
American Airlines,Charlotte,Chicago,CLT,ORD
American Airlines,Charlotte,Portland,CLT,PDX
American Airlines,Charlotte,Philadelphia,CLT,PHL
American Airlines,Charlotte,Phoenix,CLT,PHX
American Airlines,Charlotte,Portland,CLT,PWM
American Airlines,Charlotte,San Diego,CLT,SAN
American Airlines,Charlotte,San Antonio,CLT,SAT
American Airlines,Charlotte,Seattle,CLT,SEA
American Airlines,Charlotte,San Francisco,CLT,SFO
American Airlines,Charlotte,St. Louis,CLT,STL
American Airlines,Charlotte,Tampa,CLT,TPA
American Airlines,Washington,Boston,DCA,BOS
American Airlines,Washington,Charlotte,DCA,CLT
American Airlines,Washington,Detroit,DCA,DTW
American Airlines,Washington,Los Angeles,DCA,LAX
American Airlines,Washington,Orlando,DCA,MCO
American Airlines,Washington,Miami,DCA,MIA
American Airlines,Washington,Minneapolis,DCA,MSP
American Airlines,Washington,Chicago,DCA,ORD
American Airlines,Washington,Portland,DCA,PDX
American Airlines,Washington,Philadelphia,DCA,PHL
American Airlines,Washington,Phoenix,DCA,PHX
American Airlines,Washington,Portland,DCA,PWM
American Airlines,Washington,San Diego,DCA,SAN
American Airlines,Washington,St. Louis,DCA,STL
American Airlines,Washington,Tampa,DCA,TPA
American Airlines,Denver,Charlotte,DEN,CLT
American Airlines,Denver,Los Angeles,DEN,LAX
American Airlines,Denver,Miami,DEN,MIA
American Airlines,Denver,Chicago,DEN,ORD
American Airlines,Denver,Philadelphia,DEN,PHL
American Airlines,Denver,Phoenix,DEN,PHX
American Airlines,Denver,Seattle,DEN,SEA
American Airlines,Detroit,Charlotte,DTW,CLT
American Airlines,Detroit,Washington,DTW,DCA
American Airlines,Detroit,Miami,DTW,MIA
American Airlines,Detroit,Chicago,DTW,ORD
American Airlines,Detroit,Philadelphia,DTW,PHL
American Airlines,Detroit,Phoenix,DTW,PHX
American Airlines,Washington,Charlotte,IAD,CLT
American Airlines,Washington,Los Angeles,IAD,LAX
American Airlines,Washington,Miami,IAD,MIA
American Airlines,Houston,Charlotte,IAH,CLT
American Airlines,Houston,Los Angeles,IAH,LAX
American Airlines,Houston,Miami,IAH,MIA
American Airlines,Houston,Chicago,IAH,ORD
American Airlines,Houston,Philadelphia,IAH,PHL
American Airlines,Houston,Phoenix,IAH,PHX
American Airlines,Los Angeles,Boston,LAX,BOS
American Airlines,Los Angeles,Charlotte,LAX,CLT
American Airlines,Los Angeles,Washington,LAX,DCA
American Airlines,Los Angeles,Denver,LAX,DEN
American Airlines,Los Angeles,Washington,LAX,IAD
American Airlines,Los Angeles,Houston,LAX,IAH
American Airlines,Los Angeles,Orlando,LAX,MCO
American Airlines,Los Angeles,Miami,LAX,MIA
American Airlines,Los Angeles,Chicago,LAX,ORD
American Airlines,Los Angeles,Portland,LAX,PDX
American Airlines,Los Angeles,Philadelphia,LAX,PHL
American Airlines,Los Angeles,Phoenix,LAX,PHX
American Airlines,Los Angeles,San Diego,LAX,SAN
American Airlines,Los Angeles,Seattle,LAX,SEA
American Airlines,Los Angeles,San Francisco,LAX,SFO
American Airlines,Los Angeles,St. Louis,LAX,STL
American Airlines,Orlando,Charlotte,MCO,CLT
American Airlines,Orlando,Washington,MCO,DCA
American Airlines,Orlando,Los Angeles,MCO,LAX
American Airlines,Orlando,Miami,MCO,MIA
American Airlines,Orlando,Chicago,MCO,ORD
American Airlines,Orlando,Philadelphia,MCO,PHL
American Airlines,Orlando,Phoenix,MCO,PHX
American Airlines,Orlando,San Diego,MCO,SAN
American Airlines,Orlando,Seattle,MCO,SEA
American Airlines,Miami,Atlanta,MIA,ATL
American Airlines,Miami,Boston,MIA,BOS
American Airlines,Miami,Baltimore,MIA,BWI
American Airlines,Miami,Charlotte,MIA,CLT
American Airlines,Miami,Washington,MIA,DCA
American Airlines,Miami,Denver,MIA,DEN
American Airlines,Miami,Detroit,MIA,DTW
American Airlines,Miami,Washington,MIA,IAD
American Airlines,Miami,Houston,MIA,IAH
American Airlines,Miami,Los Angeles,MIA,LAX
American Airlines,Miami,Orlando,MIA,MCO
American Airlines,Miami,Minneapolis,MIA,MSP
American Airlines,Miami,Chicago,MIA,ORD
American Airlines,Miami,Philadelphia,MIA,PHL
American Airlines,Miami,Phoenix,MIA,PHX
American Airlines,Miami,San Diego,MIA,SAN
American Airlines,Miami,Seattle,MIA,SEA
American Airlines,Miami,San Francisco,MIA,SFO
American Airlines,Miami,St. Louis,MIA,STL
American Airlines,Miami,Tampa,MIA,TPA
